char,freq
酒,217
翼,167
叀,138
不,123
自,108
子,104
歲,98
酉,96
史,95
庚,89
岳,87
辰,86
伐,86
方,84
毓,83
弜,76
雨,74
即,71
南,71
眔,70
若,68
出,67
牢,66
取,65
馬,65
允,63
犬,63
未,58
求,57
祝,57
寅,56
鹿,56
鬯,55
西,53
牛,53
告,52
眾,51
先,51
年,49
執,48
母,46
夕,45
每,45
戌,44
申,44
日,43
祭,43
既,42
遘,42
亡,42
省,42
戊,41
白,40
奠,40
易,39
般,38
東,38
帝,38
河,37
朕,37
至,35
雀,35
盂,35
商,35
勿,34
我,34
余,34
乍,34
亞,33
高,32
羊,31
朿,31
湄,30
爭,30
黃,30
鬼,29
正,29
兄,29
午,28
克,28
涉,28
成,28
食,28
奏,27
尹,27
降,27
今,27
見,27
虎,27
尊,27
比,27
北,26
好,26
及,26
邑,25
宗,25
漁,24
冊,24
大,23
亦,23
人,23
庸,23
旅,23
土,22
聞,22
㚔,22
妹,22
水,22
田,22
甫,22
牡,21
率,21
曰,21
往,21
臣,20
步,20
舞,20
視,19
舟,19
何,19
疋,19
百,19
召,18
夢,18
莫,18
彔,17
各,17
丘,17
甗,17
剛,17
竹,16
焚,16
專,16
舌,16
旬,16
行,16
凡,16
妥,16
禾,16
光,16
匚,15
韋,15
京,15
介,15
異,15
蔑,15
旦,15
之,15
益,14
并,14
匕,14
癸,14
山,14
豊,14
族,14
引,13
去,13
咎,13
缶,13
从,13
巫,13
九,13
宅,13
鼓,13
豚,13
奚,13
女,12
立,12
止,12
明,12
友,12
老,12
尤,12
井,12
龠,12
妾,12
牧,11
月,11
休,11
並,11
入,11
宋,11
妌,11
生,11
夾,10
昃,10
向,10
耳,10
夫,9
万,9
效,9
云,9
任,9
敝,9
乘,9
宿,9
目,9
皿,9
央,8
魯,8
娥,8
象,8
乙,8
心,8
良,8
注,8
石,8
兌,7
琡,7
星,7
爻,7
它,7
萬,7
戚,7
品,7
襄,7
川,7
兒,7
文,7
合,7
泉,7
美,7
典,6
直,6
康,6
丮,6
季,6
戈,6
秦,6
轡,6
巴,6
雞,6
祏,6
早,6
屰,6
析,6
尸,6
林,6
夙,6
口,5
玉,5
單,5
教,5
旁,5
男,5
鬲,5
眉,5
古,5
妊,5
昏,5
宕,5
孽,5
夨,5
幽,5
刀,5
咸,5
武,5
黑,5
元,5
名,5
可,5
燎,5
折,5
羆,4
妍,4
刃,4
乃,4
艱,4
耑,4
秉,4
酓,4
登,4
雷,4
膏,4
化,4
爿,4
臭,4
肩,4
念,4
朋,4
熯,4
鼠,4
買,4
毋,4
幼,4
員,4
同,4
狐,4
吹,4
殊,4
此,4
㳄,4
欠,4
汝,4
㿝,3
量,3
身,3
區,3
网,3
朝,3
庶,3
車,3
穆,3
涂,3
㫃,3
甘,3
瞽,3
監,3
棄,3
沚,3
木,3
妝,3
赤,3
熹,3
對,3
权,3
米,3
義,3
栗,2
孫,2
承,2
鼻,2
面,2
森,2
橐,2
杞,2
卩,2
弘,2
孕,2
䢔,2
州,2
兵,2
須,2
雍,2
尿,2
鬥,2
宰,2
柳,2
夌,2
腹,2
困,2
責,2
虹,2
歺,2
晶,2
斝,2
火,2
沓,2
琮,2
齲,2
絲,2
聲,2
聿,2
守,2
矢,2
㯥,1
炎,1
畐,1
冉,1
潾,1
旋,1
婭,1
安,1
婪,1
孚,1
倗,1
旨,1
肘,1
俞,1
濞,1
娠,1
亢,1
瀼,1
偪,1
竟,1
輦,1
旡,1
薛,1
干,1
臬,1
辱,1
臾,1
喦,1
娘,1
亟,1
左,1
民,1
硪,1
服,1
桐,1
豆,1
沁,1
陽,1
曲,1
莧,1
粦,1
戒,1
畏,1
長,1
斧,1
訊,1
妸,1
乳,1
伏,1
斗,1
童,1
嬉,1
企,1
畜,1
灂,1
征,1
焱,1
弦,1
再,1
丹,1
㚸,1
會,1
糞,1
春,1
吝,1
死,1
嬂,1
如,1
妻,1
姀,1
順,1
戴,1
分,1
督,1
夸,1
沙,1
洱,1
䋙,1
杏,1
因,1
洚,1
剌,1
堯,1
晉,1
塞,1
枚,1
奻,1
姪,1
皆,1
尾,1
杜,1
姃,1
昌,1
